Customer_ID,Age,Monthly_Income,Loan_Amount,Loan_Type,Credit_Score,Loan_Status
C1147,56,142345,2520656,Home,355,Default
C1148,32,130169,1979556,Personal,338,Default
C1149,33,137153,2830180,Business,440,Paid
C1150,59,122791,2835932,Vehicle,806,Default
C1151,44,71122,2069908,Personal,451,Default
C1152,38,74580,940375,Personal,340,Paid
C1153,22,128087,1944050,Home,759,Paid
C1154,56,136531,2123005,Business,517,Paid
C1155,24,120679,977292,Business,851,Paid
C1156,39,60627,1237737,Business,664,Paid
C1157,28,129830,2271888,Home,626,Paid
C1158,34,75259,1420010,Vehicle,410,Paid
C1159,52,49887,2357011,Home,859,Paid
C1160,41,84723,2423286,Home,762,Default
C1161,40,81038,224156,Personal,343,Default
C1162,42,27252,2173637,Business,767,Paid
C1163,33,47962,2739017,Home,519,Paid
C1164,54,77567,2571762,Vehicle,782,Paid
C1165,42,116609,1989307,Home,519,Default
C1166,24,75289,1118787,Home,881,Paid
C1167,60,28750,929016,Home,674,Default
C1168,41,23666,2454451,Vehicle,611,Default
C1169,33,139060,2653603,Vehicle,703,Default
C1170,23,147866,120934,Vehicle,826,Paid
C1171,22,110782,2139319,Personal,647,Paid
C1172,43,44343,1296243,Business,601,Paid
C1173,34,149674,1555010,Business,508,Default
C1174,46,110837,2627995,Home,558,Default
C1175,58,32730,1019316,Home,515,Paid
C1176,33,134367,130038,Home,627,Paid
C1177,56,85730,1121317,Personal,695,Default
C1178,44,64693,1861026,Vehicle,468,Paid
C1179,55,113070,2653547,Home,403,Default
C1180,41,113534,2178223,Vehicle,476,Default
C1181,29,119189,360109,Business,513,Paid
C1182,48,26150,2168555,Business,367,Default
C1183,58,105476,138669,Personal,712,Paid
C1184,26,131038,1022028,Personal,341,Paid
C1185,26,90917,2314698,Business,889,Default
C1186,33,47309,2629918,Personal,697,Default
C1187,54,81192,2925546,Home,576,Paid
C1188,35,143304,1000118,Vehicle,696,Paid
C1189,27,70529,2355454,Vehicle,856,Paid
C1190,39,64171,1594083,Vehicle,340,Default
C1191,45,119298,2688502,Home,779,Paid
C1192,42,54501,933047,Business,553,Default
C1193,39,73465,2006058,Home,430,Default
C1194,53,104018,347333,Personal,389,Default
C1195,53,90239,1904445,Personal,517,Paid
C1196,31,94455,2557516,Home,383,Paid
C1197,38,49766,2452163,Personal,898,Default
C1198,42,109312,2385467,Personal,454,Paid
C1199,42,61672,1406532,Home,452,Default
C1200,47,53228,2494575,Home,540,Default
C1201,24,136459,630365,Home,511,Default
C1202,36,93606,1812322,Personal,650,Paid
C1203,58,126853,404476,Business,531,Default
C1204,51,121893,2075017,Personal,582,Default
C1205,43,144176,433749,Home,877,Paid
C1206,51,26704,291100,Vehicle,871,Paid
C1207,56,77632,2276672,Vehicle,594,Paid
C1208,37,89678,357403,Personal,839,Paid
C1209,41,130295,2502667,Personal,331,Default
C1210,51,99905,558200,Personal,384,Default
C1211,52,139921,130670,Home,864,Paid
C1212,49,54327,1796075,Vehicle,702,Paid
C1213,33,38055,2297252,Business,667,Paid
C1214,23,25437,687202,Vehicle,354,Paid
C1215,53,121076,2283778,Home,610,Paid
C1216,23,75586,1374430,Vehicle,412,Paid
C1217,49,121248,686724,Home,554,Default
C1218,32,125481,675335,Business,825,Paid
C1219,34,128163,1355096,Personal,630,Paid
C1220,50,45431,320555,Home,686,Paid
C1221,47,109826,2850307,Home,540,Default
C1222,60,142897,2404249,Business,364,Default
C1223,23,147365,1702723,Personal,516,Default
C1224,38,96131,2442283,Personal,678,Paid
C1225,45,65650,1904612,Personal,867,Paid
C1226,48,120795,1618502,Business,634,Paid
C1227,23,64449,2754456,Personal,446,Default
C1228,50,96211,2696489,Vehicle,740,Paid
C1229,36,65994,84029,Business,529,Default
C1230,29,49797,1299686,Home,693,Paid
C1231,29,143718,445138,Personal,545,Paid
C1232,33,28585,2145506,Business,834,Default
C1233,57,149005,788367,Home,793,Paid
C1234,53,77411,2613223,Personal,629,Paid
C1235,24,100079,1983386,Personal,313,Default
C1236,58,55320,2917459,Personal,390,Default
C1237,45,53718,2930317,Business,837,Paid
C1238,30,144630,1710490,Vehicle,470,Default
C1239,39,86263,2852632,Business,391,Paid
C1240,36,136644,1869884,Vehicle,473,Paid
C1241,32,102684,1875243,Home,798,Paid
C1242,33,119296,121692,Business,876,Default
C1243,47,118110,2671964,Vehicle,623,Paid
C1244,46,89990,2955156,Home,600,Paid
C1245,30,27437,1174867,Business,481,Default
C1246,25,68661,2186512,Business,327,Default
C1247,33,42019,1304253,Business,697,Paid
C1248,38,125442,960123,Home,395,Default
C1249,51,42690,1485126,Personal,367,Paid
C1250,39,45824,2868503,Business,680,Paid
C1251,43,144382,1599135,Business,616,Default
C1252,26,120876,2256818,Home,703,Paid
C1253,42,123260,1342190,Business,653,Paid
C1254,23,28843,1751191,Personal,887,Paid
C1255,49,143537,2529429,Vehicle,474,Default
C1256,57,33316,2520032,Personal,817,Paid
C1257,53,89507,610869,Home,730,Default
C1258,30,70493,1694883,Personal,780,Default
C1259,53,140046,1275285,Vehicle,648,Paid
C1260,57,87071,1967319,Business,715,Paid
C1261,57,40844,1120331,Personal,789,Paid
C1262,23,104870,778083,Vehicle,587,Default
C1263,53,124668,2795820,Business,679,Paid
C1264,57,69279,791718,Personal,883,Paid
C1265,51,36759,528265,Personal,596,Paid
C1266,21,80435,1293258,Vehicle,620,Paid
C1267,48,65518,1675527,Business,801,Paid
C1268,21,56275,2828766,Home,802,Paid
C1269,56,119278,459646,Personal,756,Paid
C1270,45,137707,980557,Vehicle,644,Paid
C1271,31,126943,71711,Home,591,Default
C1272,53,50879,2263528,Vehicle,836,Paid
C1273,42,79436,793677,Personal,418,Paid
C1274,39,58771,1255162,Home,702,Paid
C1275,59,48775,863141,Business,415,Default
C1276,21,46991,2764570,Business,645,Paid
C1277,35,47348,717836,Home,620,Paid
C1278,39,29258,1270057,Business,527,Paid
C1279,39,49538,332592,Business,565,Default
C1280,26,49584,2698950,Home,480,Paid
C1281,29,133982,2519036,Vehicle,352,Default
C1282,23,144936,2638916,Home,392,Default
C1283,36,79778,2202125,Home,680,Paid
C1284,46,83589,698772,Business,361,Paid
C1285,59,143020,1383898,Home,628,Paid
C1286,42,35692,2043722,Personal,724,Paid
C1287,34,118435,2352140,Personal,370,Default
C1288,39,123961,2798719,Home,314,Paid
C1289,53,22707,564389,Business,561,Default
C1290,53,120612,123875,Home,565,Default
C1291,46,24412,2053218,Personal,501,Paid
C1292,25,73595,925915,Vehicle,495,Paid
C1293,24,134367,106850,Vehicle,775,Paid
C1294,45,142993,2151518,Home,629,Paid
C1295,38,47418,50124,Vehicle,518,Default
C1296,22,54850,2728871,Business,780,Paid
C1297,59,38062,1032153,Personal,321,Paid
C1298,32,34248,2513354,Personal,523,Default
C1299,42,42854,2059399,Vehicle,392,Default
C1300,36,140845,854086,Business,651,Paid
C1301,41,71208,264543,Business,708,Default
C1302,23,139423,106571,Business,409,Default
C1303,58,127918,2432002,Business,723,Paid
C1304,34,29602,913359,Business,670,Paid
C1305,46,123472,1905819,Personal,865,Paid
C1306,52,59703,289308,Home,515,Default
C1307,30,82015,374449,Business,639,Paid
C1308,40,74630,2967959,Vehicle,637,Default
C1309,45,59605,687901,Business,400,Default
C1310,30,35656,396737,Personal,450,Paid
C1311,53,143914,346759,Business,576,Paid
C1312,25,90879,1044910,Personal,662,Paid
C1313,53,76344,557067,Home,324,Default
C1314,36,80216,2330450,Business,699,Paid
C1315,59,141687,291256,Business,488,Default
C1316,48,116877,336877,Business,473,Paid
C1317,25,54148,2928934,Business,350,Default
C1318,60,96081,2563103,Home,399,Default
C1319,32,129498,430622,Home,864,Paid
C1320,21,123907,1309838,Personal,737,Paid
C1321,49,74755,2418575,Vehicle,498,Default
C1322,46,117241,2068943,Vehicle,384,Default
C1323,34,93137,1658212,Vehicle,653,Paid
C1324,39,139549,565102,Vehicle,778,Paid
C1325,55,45745,210436,Business,652,Default
C1326,48,41371,1386564,Home,878,Paid
C1327,58,52928,2802055,Personal,514,Paid
C1328,27,136300,1829385,Business,606,Paid
C1329,43,78081,113694,Vehicle,450,Default
C1330,43,28552,1503100,Personal,612,Paid
C1331,30,84886,219772,Personal,745,Paid
C1332,56,117990,1069713,Personal,401,Default
C1333,21,35836,1041050,Business,302,Default
C1334,33,142487,1557756,Business,506,Default
C1335,56,82346,267522,Home,487,Default
C1336,43,29307,613751,Vehicle,466,Default
C1337,21,59488,1861560,Personal,742,Paid
C1338,30,138417,2595320,Business,856,Paid
C1339,57,132772,706084,Business,687,Paid
C1340,21,107014,2667948,Vehicle,545,Paid
C1341,41,39935,247502,Home,324,Default
C1342,50,73103,2546064,Vehicle,757,Paid
C1343,42,118642,506079,Personal,555,Paid
C1344,53,49839,1445829,Home,664,Paid
C1345,46,47681,1618604,Home,558,Default
C1346,29,98591,565931,Business,400,Paid
C1347,41,82584,2007492,Home,815,Paid
C1348,49,128771,2975036,Personal,827,Default
C1349,57,139279,2053863,Home,322,Paid
C1350,28,50708,2289538,Home,730,Paid
C1351,24,104311,1681827,Business,769,Paid
C1352,21,63690,901915,Personal,546,Paid
C1353,24,89159,2397190,Vehicle,656,Paid
C1354,56,86550,1755986,Business,454,Default
C1355,36,67926,395343,Personal,612,Paid
C1356,55,143786,875987,Business,642,Paid
C1357,39,97244,606538,Business,790,Paid
C1358,28,82071,1751392,Home,664,Paid
C1359,23,33414,571262,Home,621,Paid
C1360,25,93818,2030359,Vehicle,787,Paid
C1361,33,35961,931567,Business,870,Default
C1362,50,20583,2597467,Home,622,Paid
C1363,28,27570,1607081,Business,748,Default
C1364,24,57461,1732827,Vehicle,340,Default
C1365,41,31026,2398165,Home,626,Paid
C1366,28,81240,876804,Vehicle,651,Paid
C1367,40,87841,546773,Personal,576,Default
C1368,57,81047,2726439,Vehicle,752,Paid
C1369,21,96634,833710,Vehicle,649,Paid
C1370,28,93557,118370,Personal,799,Paid
C1371,41,68746,1604580,Home,774,Paid
C1372,25,23391,338826,Home,331,Default
C1373,56,95627,791896,Home,716,Paid
C1374,47,26496,2749363,Vehicle,439,Default
C1375,41,101257,2893527,Business,672,Default
C1376,60,132895,2306688,Personal,541,Paid
C1377,39,116235,430865,Vehicle,413,Default
C1378,56,77288,137295,Home,327,Paid
C1379,39,131219,757873,Vehicle,363,Default
C1380,44,137967,1964741,Business,495,Default
C1381,33,83738,573777,Business,581,Default
C1382,30,93020,2801778,Vehicle,792,Paid
C1383,34,58117,1110052,Home,430,Paid
C1384,36,33533,2357021,Home,714,Paid
C1385,34,66982,2308355,Personal,502,Default
C1386,45,87441,2061229,Business,384,Default
C1387,49,65045,836468,Home,645,Paid
C1388,28,67506,2875747,Business,493,Default
C1389,22,81599,2356592,Business,420,Default
C1390,58,135494,2862700,Business,306,Default
C1391,57,34222,2200130,Personal,366,Default
C1392,55,112908,2511801,Business,669,Default
C1393,21,82315,1107445,Personal,786,Default
C1394,37,60786,2526035,Business,804,Paid
C1395,21,51080,2532096,Personal,870,Paid
C1396,47,76991,1331162,Vehicle,803,Default
C1397,31,112914,1935540,Personal,884,Paid
C1398,58,114209,1608691,Home,772,Paid
C1399,41,111335,1265058,Home,595,Paid
C1400,26,112213,1643245,Personal,892,Paid
C1401,41,129641,2910020,Business,317,Paid
C1402,40,135032,1711432,Vehicle,776,Default
C1403,54,90937,2998930,Personal,442,Default
C1404,31,30755,1981482,Home,430,Default
C1405,27,29529,568718,Home,727,Default
C1406,30,86342,1528722,Business,491,Default
C1407,50,139433,1045441,Business,677,Paid
C1408,58,31828,1515145,Business,883,Paid
C1409,33,38124,2754954,Home,465,Paid
C1410,22,145248,2874327,Home,755,Paid
C1411,29,29952,1328157,Business,505,Paid
C1412,55,42269,2734783,Business,318,Default
C1413,22,118279,401348,Vehicle,337,Default
C1414,42,142507,1674722,Business,362,Default
C1415,46,59976,1202660,Personal,528,Default
C1416,22,133797,2922882,Home,824,Paid
C1417,35,116941,323568,Business,812,Paid
C1418,47,52149,951673,Vehicle,455,Default
C1419,56,93277,1788207,Vehicle,782,Paid
C1420,37,54406,2188388,Vehicle,693,Paid
C1421,47,41678,2357059,Personal,400,Paid
C1422,38,21392,2447515,Vehicle,860,Paid
C1423,25,71117,796584,Home,576,Paid
C1424,25,108754,2357048,Vehicle,344,Default
C1425,24,100825,1304347,Personal,361,Default
C1426,27,127213,2187395,Vehicle,642,Paid
C1427,28,69042,2373700,Home,823,Paid
C1428,21,29559,2683942,Personal,740,Paid
C1429,36,108612,2002385,Vehicle,404,Default
C1430,31,97608,307586,Vehicle,448,Paid
C1431,47,119450,1934613,Vehicle,494,Default
C1432,30,125273,2291042,Vehicle,345,Default
C1433,52,85756,1669376,Vehicle,816,Paid
C1434,53,36937,539304,Vehicle,755,Paid
C1435,60,148714,192094,Business,508,Default
C1436,48,43765,1497068,Personal,375,Default
C1437,39,93324,2915837,Home,433,Default
C1438,43,131818,2405603,Home,788,Paid
C1439,50,57385,1349963,Personal,339,Default
C1440,57,55877,486070,Personal,870,Paid
C1441,56,149438,2213274,Personal,762,Paid
C1442,25,25274,1712487,Home,507,Default
C1443,44,119679,553836,Business,846,Default
C1444,49,128068,1429500,Home,470,Default
C1445,51,45875,1913112,Personal,468,Paid
C1446,25,65579,2555256,Business,701,Paid
C1447,35,128926,399668,Home,432,Default
C1448,60,130094,2717770,Business,391,Default
C1449,53,137632,2987823,Business,391,Default
C1450,23,94351,2719633,Vehicle,664,Paid
C1451,37,74929,1627165,Personal,797,Paid
C1452,34,87991,1354363,Vehicle,570,Default
C1453,22,148702,1742446,Business,558,Default
C1454,40,110838,2182355,Business,714,Paid
C1455,25,56190,1060839,Home,432,Paid
C1456,43,144308,2281173,Home,826,Paid
C1457,55,140376,2589074,Vehicle,396,Default
C1458,27,111447,940253,Personal,534,Default
C1459,31,75155,2654515,Vehicle,756,Paid
C1460,45,112763,2265716,Personal,728,Paid
C1461,45,97427,2963490,Personal,640,Paid
C1462,57,109908,2202960,Vehicle,589,Paid
C1463,49,129167,2419994,Personal,609,Paid
C1464,49,52180,2841363,Home,619,Paid
C1465,29,23762,1948581,Vehicle,328,Default
C1466,38,98674,2754066,Home,361,Default
C1467,30,51652,1525521,Business,448,Default
C1468,53,96169,528394,Business,602,Default
C1469,22,55424,1431135,Vehicle,783,Paid
C1470,41,24086,1322764,Business,805,Default
C1471,41,79110,1677760,Personal,527,Default
C1472,54,100723,999878,Personal,673,Paid
C1473,51,147203,103788,Personal,880,Paid
C1474,43,37858,891053,Personal,669,Paid
C1475,54,36234,2415355,Home,378,Default
C1476,47,101002,1099161,Personal,458,Default
C1477,35,129147,1414770,Business,416,Paid
C1478,58,25930,2017227,Personal,831,Paid
C1479,57,93387,779124,Vehicle,813,Default
C1480,50,53233,816880,Personal,700,Paid
C1481,23,76579,1506717,Home,893,Paid
C1482,40,131242,1248597,Vehicle,844,Paid
C1483,51,91024,329052,Personal,407,Default
C1484,35,22622,2188546,Personal,336,Paid
C1485,51,74668,949479,Home,500,Paid
C1486,42,38972,1744116,Vehicle,873,Paid
C1487,22,91581,670949,Personal,417,Paid
C1488,57,131410,650220,Home,826,Paid
C1489,25,132675,1206926,Personal,825,Paid
C1490,21,92023,1513636,Vehicle,575,Default
C1491,45,100668,620088,Home,760,Default
C1492,52,25292,179672,Vehicle,639,Paid
C1493,51,116542,1129117,Vehicle,824,Default
C1494,31,64772,627581,Home,368,Default
C1495,48,39648,2194899,Vehicle,865,Paid
C1496,33,135919,928620,Business,313,Paid
C1497,33,125524,2238288,Personal,815,Paid
C1498,43,43533,699292,Home,732,Paid
C1499,25,135170,864929,Business,419,Default
C1500,21,52434,2890369,Business,416,Default
C1501,53,38661,1881075,Home,363,Paid
C1502,60,59009,2152246,Home,856,Paid
C1503,28,137593,2869682,Home,899,Paid
C1504,56,53269,129905,Business,793,Paid
C1505,26,131165,508342,Business,752,Default
C1506,37,108905,250950,Business,525,Default
C1507,22,89721,2254162,Business,357,Default
C1508,47,96209,271224,Business,643,Default
C1509,41,130380,2072736,Vehicle,872,Paid
C1510,23,103002,149252,Personal,685,Default
C1511,46,107209,2775325,Vehicle,752,Paid
C1512,36,70297,234058,Home,552,Default
C1513,45,130899,2374693,Home,574,Default
C1514,47,119613,2027256,Home,477,Paid
C1515,37,132239,1773028,Vehicle,446,Paid
C1516,26,147030,1663359,Personal,342,Default
C1517,60,33144,2696496,Business,792,Paid
C1518,58,145756,770649,Personal,577,Paid
C1519,45,99890,2870515,Home,555,Paid
C1520,21,32629,1907780,Vehicle,624,Paid
C1521,26,126459,2446069,Vehicle,574,Default
C1522,40,144438,577080,Business,428,Default
C1523,22,74183,1801356,Home,747,Paid
C1524,51,106087,2996119,Business,537,Default
C1525,57,104140,1989048,Home,623,Paid
C1526,49,83963,2139784,Home,405,Paid
C1527,48,45847,1689872,Vehicle,642,Paid
C1528,33,141232,559982,Vehicle,635,Paid
C1529,49,58455,1402830,Vehicle,538,Paid
C1530,26,63205,1211006,Personal,716,Paid
C1531,22,141168,2341782,Home,747,Paid
C1532,29,99065,884018,Personal,388,Default
C1533,60,91245,2432111,Vehicle,487,Default
C1534,40,29922,2993241,Home,545,Paid
C1535,58,110384,1938315,Personal,708,Paid
C1536,24,55843,1815637,Business,755,Paid
C1537,56,44593,2454800,Business,320,Default
C1538,48,37148,544144,Home,366,Default
C1539,29,100976,2047863,Vehicle,420,Paid
C1540,52,145782,1747871,Vehicle,301,Default
C1541,24,49899,2842907,Vehicle,626,Paid
C1542,22,133674,1174352,Business,824,Paid
C1543,54,83933,546282,Home,660,Paid
C1544,38,140563,2100880,Personal,898,Default
C1545,33,115746,1794076,Home,819,Paid
C1546,53,37187,470641,Home,511,Paid
C1547,23,25101,274490,Vehicle,495,Default
C1548,56,113257,1466559,Vehicle,332,Default
C1549,39,145669,2360815,Vehicle,747,Paid
C1550,60,127957,209053,Business,608,Default
C1551,28,114481,217474,Vehicle,894,Paid
C1552,24,75155,127611,Vehicle,660,Paid
C1553,24,126723,524588,Personal,440,Default
C1554,31,26847,1040511,Home,676,Paid
C1555,50,141657,1456886,Home,557,Default
C1556,56,137344,2077053,Home,422,Default
C1557,51,128829,2266967,Personal,595,Paid
C1558,44,41149,2042260,Home,681,Paid
C1559,31,105858,425689,Home,899,Paid
C1560,46,133718,2246323,Vehicle,792,Paid
C1561,53,44661,2177710,Personal,340,Default
C1562,49,135595,1658889,Vehicle,599,Default
C1563,45,89122,2360702,Home,702,Paid
C1564,59,132048,1639767,Personal,649,Default
C1565,27,32097,1835315,Home,382,Paid
C1566,27,71545,1087842,Home,631,Default
C1567,43,32826,1610535,Home,530,Default
C1568,49,75643,1288067,Business,544,Default
C1569,24,107666,2694773,Personal,694,Paid
C1570,35,149549,1840963,Home,307,Default
C1571,34,20263,2219356,Personal,730,Paid
C1572,55,42522,2412967,Home,836,Paid
C1573,36,73945,124295,Business,475,Default
C1574,24,68710,360126,Personal,397,Default
C1575,24,53671,1378954,Business,350,Default
C1576,25,27175,1862315,Business,796,Paid
C1577,52,60134,1279052,Personal,784,Paid
C1578,56,20706,530233,Vehicle,527,Paid
C1579,25,66471,682009,Vehicle,629,Paid
C1580,37,23926,723662,Business,479,Default
C1581,38,118311,944398,Personal,672,Paid
C1582,54,114640,189045,Vehicle,318,Default
C1583,47,125440,583895,Personal,500,Default
C1584,42,136988,1384553,Home,526,Default
C1585,21,112280,1182938,Business,699,Paid
C1586,35,64248,1625055,Vehicle,354,Default
C1587,33,111005,87489,Home,425,Default
C1588,55,46936,92441,Vehicle,356,Default
C1589,29,148278,210079,Vehicle,874,Paid
C1590,33,44379,1098599,Vehicle,665,Paid
C1591,34,114307,2536122,Business,559,Default
C1592,40,123834,927368,Vehicle,777,Paid
C1593,27,112338,2494968,Business,807,Paid
C1594,31,114120,210812,Personal,885,Paid
C1595,41,66083,2624032,Personal,389,Default
C1596,39,33409,1396558,Business,770,Paid
C1597,33,46310,1711108,Home,730,Paid
C1598,55,142462,1521214,Home,549,Paid
C1599,52,148793,2577266,Personal,780,Paid
C1600,50,95819,698683,Home,881,Paid
C1601,33,58035,2207492,Personal,900,Paid
C1602,38,115351,2216305,Business,813,Paid
C1603,21,87517,2161936,Vehicle,381,Default
C1604,43,145614,2414572,Home,418,Default
C1605,29,21599,2310684,Personal,850,Default
C1606,50,90823,1456353,Vehicle,693,Paid
C1607,34,131801,580928,Vehicle,507,Paid
C1608,54,27607,1486930,Home,468,Paid
C1609,47,125128,1529227,Business,803,Default
C1610,37,91581,75255,Personal,563,Paid
C1611,43,117393,1513450,Home,471,Default
C1612,51,52325,687061,Personal,696,Paid
C1613,48,61015,1703324,Business,701,Paid
C1614,26,60008,531951,Home,530,Paid
C1615,47,120399,2682730,Business,671,Paid
C1616,50,57400,2839606,Home,458,Default
C1617,38,124038,2309140,Business,525,Default
C1618,34,40825,2276103,Business,613,Paid
C1619,39,144254,865592,Home,791,Paid
C1620,35,115652,2462220,Home,543,Paid
C1621,26,79952,1581646,Business,356,Default
C1622,34,59279,1788929,Business,407,Default
C1623,55,143126,1322780,Home,620,Default
